"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AIToolCurrently.Using","Employment"
"11","Durban Campus","Data Science","I code primarily as a hobby","N/A","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Haskell;HTML/CSS;Java;Python","None","None","None","Not Stated","None","None","Student, full-time"
"12","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java","Cosmos DB;Dynamodb;MongoDB;MySQL","Amazon Web Services (AWS);Microsoft Azure","None","Not Stated","None","None","Employed, full-time"
"13","Durban Campus","IT","I code primarily as a hobby","N/A","Some college/university study without earning a degree","C","None","None","None","Not Stated","None","None","Student, full-time"
"14","Durban Campus","IT","I am a developer by profession","Developer; game ;graphics","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++","None","VMware","None","Information Services; IT; Software Development; Technology","ChatGPT","None","Employed, full-time"
"15","Durban Campus","Computer Science","I code primarily as a hobby","Not Stated","Something else","Java;JavaScript;Kotlin;Lua;PHP;Python","SQLite","Digital Ocean","Django;Flask","Not Stated","ChatGPT;WolframAlpha","None","I prefer not to say"
"16","Durban Campus","IT","I am a developer by profession","Developer; desktop ;enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Rust","MariaDB;Microsoft SQL Server;MySQL;PostgreSQL","None","ASP.NET CORE","Not Stated","Bing AI","Writing code;Debugging and getting help","Employed, part-time;Student, part-time"
"17","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;JavaScript;PHP;TypeScript","MySQL;PostgreSQL;SQLite","Microsoft Azure;OVH","NestJS","Not Stated","ChatGPT","None","Employed, full-time"
"18","Durban Campus","Data Science","I am a developer by profession","Developer; back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript","Firebase Realtime Database;H2;IBM DB2;Oracle;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Oracle Cloud Infrastructure (OCI)","Express;Node.js;React;Spring Boot","Financial Services","None","None","Employed, full-time"
"19","Durban Campus","Computer Science","I am a developer by profession","System administrator","Some college/university study without earning a degree","TypeScript","MongoDB","Google Cloud","Express;Node.js;React;WordPress","Other","ChatGPT","None","Independent contractor, freelancer, or self-employed"
"20","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript","MySQL","Heroku","None","Manufacturing; Transportation; Supply Chain","ChatGPT","None","Employed, full-time"
"21","Durban Campus","Computer Science","I am a developer by profession","Engineer; data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;SQL","Microsoft Access","VMware","None","Not Stated","ChatGPT","None","Employed, full-time"
"22","Durban Campus","Computer Science","I code primarily as a hobby","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Python","MySQL","Amazon Web Services (AWS)","Node.js;WordPress","Not Stated","ChatGPT","None","Independent contractor, freelancer, or self-employed"
"23","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;TypeScript","Firebase Realtime Database;MongoDB;MySQL","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud","Angular;NestJS;Next.js;Node.js;React;Vue.js","Not Stated","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Committing and reviewing code","Independent contractor, freelancer, or self-employed;Employed, part-time;Student, part-time"
"24","Durban Campus","Data Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel","Express;Node.js","Information Services; IT; Software Development; Technology","ChatGPT","Learning about a codebase;Project planning;Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"25","Durban Campus","Computer Science","I am a developer by profession","Developer; front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;Objective-C;Python;Ruby;Swift;TypeScript","None","None","Angular;WordPress","Information Services; IT; Software Development; Technology","None","None","Employed, full-time"
"26","Durban Campus","Computer Science","I am a developer by profession","Developer; desktop ;enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;JavaScript;Python;TypeScript","None","Heroku;Microsoft Azure","Django","Not Stated","None","None","Employed, full-time"
"27","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE","Not Stated","None","None","Employed, full-time"
"28","Durban Campus","Computer Science","I am a developer by profession","Research & Development role","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;Python","MongoDB","None","React","Information Services; IT; Software Development; Technology","None","None","Employed, full-time;Independent contractor, freelancer, or self-employed"
"29","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","PostgreSQL","None","Angular;Express;Node.js","Other","None","None","Employed, full-time"
"30","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript","MySQL","Amazon Web Services (AWS)","jQuery;Play Framework;React","Not Stated","ChatGPT","Writing code;Debugging and getting help","Employed, full-time"
"31","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Groovy;Java;JavaScript;Lua;SQL","MySQL;PostgreSQL","None","jQuery;Node.js","Not Stated","None","None","Employed, full-time"
"32","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java","Microsoft SQL Server","None","None","Healthcare","None","None","Employed, full-time"
"33","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer; full-stack","Some college/university study without earning a degree","C#;PowerShell;Python","MongoDB;SQLite","None","None","Not Stated","WolframAlpha","None","Employed, full-time"
"34","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript","MongoDB","None","Next.js;Node.js;React","Not Stated","ChatGPT;Google Bard AI","Writing code","Employed, full-time"
"35","Durban Campus","Data Science","I am a developer by profession","N/A","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;TypeScript","None","None","Deno","N/A","ChatGPT","None","Not employed, and not looking for work"
"36","Durban Campus","Computer Science","I am a developer by profession","Developer; front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript","None","None","React","Information Services; IT; Software Development; Technology","ChatGPT;Google Bard AI;Neeva AI;You.com","Writing code;Documenting code;Testing code","Employed, full-time"
"37","Durban Campus","Data Science","I am a developer by profession","Student","Some college/university study without earning a degree","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript","PostgreSQL","None","Blazor;Node.js;Spring Boot","N/A","None","Writing code;Documenting code;Debugging and getting help;Testing code","Not employed, but looking for work;Student, full-time"
"38","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;F#","MariaDB;Microsoft SQL Server;PostgreSQL;SQLite","None","ASP.NET;ASP.NET CORE","Not Stated","None","None","Employed, full-time"
"39","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;TypeScript","Cloud Firestore;MongoDB;MySQL;PostgreSQL","Digital Ocean;Firebase;Google Cloud","Express;NestJS;React","Not Stated","ChatGPT;Google Bard AI","Writing code","Independent contractor, freelancer, or self-employed;Student, full-time"
"40","Durban Campus","Computer Science","I am a developer by profession","Engineer; data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;Kotlin;Python;Scala;SQL","MariaDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS)","None","Financial Services","None","None","Independent contractor, freelancer, or self-employed"
"41","Durban Campus","Data Science","I am a developer by profession","Other (please specify):","Some college/university study without earning a degree","Ada;C;C++;Go;Java;Lua;Prolog","Neo4J;Oracle;SQLite","Amazon Web Services (AWS);Cloudflare;OVH;VMware","WordPress","Not Stated","None","None","Independent contractor, freelancer, or self-employed"
"42","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL;Swift;Visual Basic (.Net)","Microsoft Access;Microsoft SQL Server;MongoDB;Oracle;Redis;SQLite","Digital Ocean;Microsoft Azure;VMware","ASP.NET;ASP.NET CORE;jQuery;React","Not Stated","None","None","Employed, full-time"
"43","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Go;Groovy;Java;Python;SQL;TypeScript","Elasticsearch;H2;IBM DB2;InfluxDB;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Firebase;OpenShift;VMware","Angular;Flask;Spring Boot","Insurance","WolframAlpha","None","Employed, full-time"
"44","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript","MariaDB;MySQL","Amazon Web Services (AWS);Google Cloud","Angular;Node.js;Vue.js","Not Stated","ChatGPT","None","Employed, full-time"
"45","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Some college/university study without earning a degree","Java;JavaScript;Lua;Rust;SQL","BigQuery;Cassandra;Cloud Firestore;Elasticsearch;H2;PostgreSQL;Redis","Google Cloud","Spring Boot;Vue.js","Not Stated","None","None","Employed, full-time"
"46","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;SQL","MySQL;Oracle;PostgreSQL","None","Django;Flask;React","Not Stated","None","None","Employed, full-time;Independent contractor, freelancer, or self-employed"
"47","Durban Campus","Computer Science","I am a developer by profession","Developer; desktop ;enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","Elasticsearch;H2;MariaDB;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Laravel;Nuxt.js;Vue.js","Information Services; IT; Software Development; Technology","ChatGPT","None","Employed, full-time;Independent contractor, freelancer, or self-employed"
"48","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;Python;SQL;TypeScript","Microsoft SQL Server;MySQL;SQLite","Firebase","Angular","Wholesale","ChatGPT","None","Employed, full-time"
"49","Durban Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;PowerShell;TypeScript","None","Microsoft Azure;Netlify","ASP.NET CORE","Information Services; IT; Software Development; Technology","Bing AI;ChatGPT","Writing code;Documenting code","Employed, full-time"
"50","Durban Campus","IT","I am a developer by profession","Developer; mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Objective-C;Swift","Firebase Realtime Database;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;OpenShift;OpenStack","NestJS;Next.js;Node.js","Information Services; IT; Software Development; Technology","Bing AI;ChatGPT","None","Employed, full-time"
"51","Durban Campus","IT","I am a developer by profession","Database administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);PowerShell;SQL","Oracle","None","None","Not Stated","None","None","Employed, full-time"
"52","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python","InfluxDB;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;OVH","FastAPI;Flask;React;WordPress","Not Stated","ChatGPT","Writing code;Documenting code","Employed, full-time"
"53","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","None","Heroku","Deno","Wholesale","Bing AI;ChatGPT","Learning about a codebase","Employed, part-time"
"54","Durban Campus","IT","I am a developer by profession","Developer Experience","Some college/university study without earning a degree","C#;JavaScript;Swift","MySQL","Amazon Web Services (AWS)","Express;Node.js","Not Stated","None","None","Independent contractor, freelancer, or self-employed"
"55","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;HTML/CSS;JavaScript;PHP;SQL;Swift","MariaDB;MySQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Hetzner","None","Not Stated","None","None","Independent contractor, freelancer, or self-employed"
"56","Durban Campus","Data Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C++;Rust","Elasticsearch","None","None","Not Stated","ChatGPT;WolframAlpha","None","Employed, full-time"
"57","Durban Campus","Data Science","I am a developer by profession","Developer; full-stack","Something else","Assembly;Bash/Shell (all shells);C;C#;C++;Crystal;Dart;Delphi;F#;Fortran;Go;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;PHP;Rust;SQL;TypeScript;VBA;Visual Basic (.Net)","Cosmos DB;Microsoft Access;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js","Manufacturing; Transportation; Supply Chain","ChatGPT","Learning about a codebase;Writing code","Employed, full-time"
"58","Durban Campus","Data Science","I used to be a developer by profession, but no longer am","Product manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;Python;SQL;TypeScript","Microsoft SQL Server;Redis","Microsoft Azure","None","Manufacturing; Transportation; Supply Chain","ChatGPT","None","Employed, full-time"
"59","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Data scientist ;machine learning specialist","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C;C++;Fortran;Go;HTML/CSS;JavaScript;Julia;PowerShell;Python;R;SAS;SQL;TypeScript","BigQuery;Cloud Firestore;Dynamodb;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure","Angular","Not Stated","WolframAlpha","None","Employed, full-time"
"60","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net)","Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Redis","None","ASP.NET CORE;FastAPI;Flask","Not Stated","Bing AI;ChatGPT","Writing code","Employed, full-time"
"61","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#","Cosmos DB;Microsoft SQL Server;Redis","Microsoft Azure","Angular","Manufacturing; Transportation; Supply Chain","None","None","Employed, full-time"
"62","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","MongoDB;MySQL","Amazon Web Services (AWS)","Angular;CodeIgniter;jQuery;Node.js","Information Services; IT; Software Development; Technology","ChatGPT","Learning about a codebase;Writing code","Employed, full-time"
"63","Durban Campus","Data Science","I am a developer by profession","Blockchain","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;HTML/CSS;JavaScript;Solidity;TypeScript","None","Amazon Web Services (AWS);Netlify;Vercel","Gatsby;Next.js;React","Information Services; IT; Software Development; Technology","ChatGPT","Writing code;Debugging and getting help;Testing code","Independent contractor, freelancer, or self-employed"
"64","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud","jQuery;Laravel;Symfony;Vue.js","Information Services; IT; Software Development; Technology","Bing AI;ChatGPT","None","Employed, full-time"
"65","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;TypeScript","Microsoft SQL Server;PostgreSQL","None","Angular;ASP.NET;ASP.NET CORE","Information Services; IT; Software Development; Technology","None","None","Employed, full-time"
"66","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;Java;PHP;Python;SQL","MySQL;PostgreSQL","Amazon Web Services (AWS);Heroku","jQuery;React","N/A","None","None","Not employed, but looking for work;Student, full-time"
"67","Durban Campus","Computer Science","I am a developer by profession","Data scientist ;machine learning specialist","Some college/university study without earning a degree","Python","PostgreSQL;SQLite","Heroku","Django","Not Stated","ChatGPT;Perplexity AI","Writing code;Documenting code","Employed, part-time"
"68","Durban Campus","Data Science","I am a developer by profession","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;PowerShell;Python","Microsoft SQL Server","Amazon Web Services (AWS);Microsoft Azure","ASP.NET","Retail and Consumer Services","None","None","Employed, full-time"
"69","Durban Campus","Computer Science","I code primarily as a hobby","N/A","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;SQL","None","None","None","Not Stated","None","None","Retired"
"70","Durban Campus","IT","I am a developer by profession","Developer; full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","Dynamodb;Elasticsearch","Amazon Web Services (AWS)","Node.js;React","Information Services; IT; Software Development; Technology","ChatGPT;Google Bard AI","None","Employed, full-time"
"71","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;OCaml;Python;SQL","SQLite","None","None","Not Stated","ChatGPT","None","Employed, full-time"
"72","Durban Campus","Computer Science","I am a developer by profession","Seni;Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Vue.js","Financial Services","None","None","Employed, full-time"
"73","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Some college/university study without earning a degree","Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Hetzner","Express;Laravel;Node.js;Nuxt.js;Vue.js","Not Stated","ChatGPT","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time"
"74","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Academic researcher","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C#;Python","None","None","None","Not Stated","ChatGPT;WolframAlpha","None","Employed, full-time"
"75","Durban Campus","Data Science","I am a developer by profession","Developer; back-end","Some college/university study without earning a degree","C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript","Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite;Supabase","Amazon Web Services (AWS);Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Microsoft Azure;Vercel","ASP.NET;ASP.NET CORE;Blazor;Deno;Django;Express;FastAPI;Flask;jQuery;Next.js;Node.js;React","N/A","ChatGPT;Google Bard AI","Writing code","Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Student, part-time"
"76","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Security professional","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript","Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Firebase;Microsoft Azure;VMware","ASP.NET;ASP.NET CORE;Flask;jQuery","Information Services; IT; Software Development; Technology","ChatGPT","None","Employed, full-time"
"77","Durban Campus","Data Science","I am a developer by profession","Academic researcher","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C;C++;Fortran;MATLAB;PowerShell;Python;R","Microsoft SQL Server;MongoDB;MySQL;SQLite","Google Cloud","None","Other","WolframAlpha","None","Employed, full-time"
"78","Durban Campus","Data Science","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;SQL;TypeScript","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS)","Angular;CodeIgniter;Node.js","Healthcare","Bing AI;ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time"
"79","Durban Campus","Computer Science","I am a developer by profession","Developer; embedded applications ;devices","Associate degree (A.A., A.S., etc.)","Assembly;C;Java;Swift","SQLite","None","None","Information Services; IT; Software Development; Technology","None","None","Employed, full-time;Independent contractor, freelancer, or self-employed"
"80","Durban Campus","Computer Science","I am a developer by profession","Developer; full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);JavaScript;Python;Rust","InfluxDB;MongoDB","Heroku;Hetzner;Linode, now Akamai;Oracle Cloud Infrastructure (OCI)","Vue.js","Not Stated","ChatGPT","None","Independent contractor, freelancer, or self-employed"
"81","Durban Campus","Computer Science","I am a developer by profession","Developer; back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;PowerShell;Python","Microsoft SQL Server","Google Cloud","None","Manufacturing; Transportation; Supply Chain","None","None","Employed, full-time"
"82","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","N/A","Some college/university study without earning a degree","Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Cloudflare;Hetzner;OpenShift","Express;Node.js;React;Vue.js","Not Stated","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Committing and reviewing code","Student, full-time"
"83","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Data scientist ;machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Python;R","MongoDB;MySQL","Google Cloud","None","Not Stated","Bing AI;ChatGPT","None","Employed, full-time"
"84","Durban Campus","Data Science","I am a developer by profession","Developer; mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;Java;JavaScript;Kotlin","MySQL;SQLite","None","None","Information Services; IT; Software Development; Technology","ChatGPT;Google Bard AI","None","Employed, full-time"
"85","Durban Campus","IT","I am a developer by profession","Engineer; data","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C#;HTML/CSS;JavaScript;Python;SQL","Microsoft SQL Server;MySQL;Oracle;SQLite","Amazon Web Services (AWS);Google Cloud","ASP.NET;Django;jQuery","Not Stated","ChatGPT","None","Employed, full-time"
